Base Folder,Mesh Folder,Chamfer Distance,Hausdorff Distance
017,./017/Dragon,0.3782329418892135,0.6317879237068533
017,./017/Spaceship,0.3661468755020612,0.5537035895695389
018,./018/copper_Robot_with_glowing_eyes,0.2105161117792442,0.249091778227586
018,./018/A_snowy_owl_with_silver_feathers_singing,0.2686193774878397,0.3163895357917538
018,./018/Silver_Rocket,0.1898331354930212,0.1946843758112635
018,./018/a_red_mushroom,0.2614981503348383,0.404833072405978
018,./018/jewellery_with_gold_and_silver,0.1325508298973702,0.1557626577125204
018,./018/A_talking_cactus_with_a_sombrero,0.153228981444993,0.1599227335810675
018,./018/Dragon,0.1494357672231468,0.163829488956315
018,./018/Spaceship,0.1853493957213792,0.2268585317374734
019,./019/copper_Robot_with_glowing_eyes,0.3097989632733295,0.4329171935266301
019,./019/A_snowy_owl_with_silver_feathers_singing,0.2722214570669476,0.4359672798162493
019,./019/Silver_Rocket,0.2283093543780773,0.4278083770227145
019,./019/a_red_mushroom,0.2761629677856789,0.3883313309492502
019,./019/jewellery_with_gold_and_silver,0.279774789613279,0.4617800638624708
019,./019/A_talking_cactus_with_a_sombrero,0.2584546260102804,0.3921970311036451
019,./019/Dragon,0.2643614430461676,0.3651816050268599
019,./019/Spaceship,0.2386422977257156,0.3740423268612506
020,./020/copper_Robot_with_glowing_eyes,0.4424066668206126,0.5041673731424091
020,./020/A_snowy_owl_with_silver_feathers_singing,0.4182437909066911,0.6162595274639302
020,./020/Silver_Rocket,0.4303310920106757,0.5125868163409701
020,./020/a_red_mushroom,0.4364612159916152,0.5704816773137734
020,./020/jewellery_with_gold_and_silver,0.2251393846685445,0.3113231436648514
020,./020/A_talking_cactus_with_a_sombrero,0.3084462216782985,0.4310796538379707
020,./020/Dragon,0.3061701713071934,0.4212851786331348
020,./020/Spaceship,0.4335880478630682,0.5427180254234051
021,./021/copper_Robot_with_glowing_eyes,0.1745761542140981,0.231509124747177
021,./021/A_snowy_owl_with_silver_feathers_singing,0.2481211687015292,0.3935046867241176
021,./021/Silver_Rocket,0.1538685246067703,0.1950579155643636
021,./021/a_red_mushroom,0.3671537593864218,0.368050732754024
021,./021/jewellery_with_gold_and_silver,0.1054853200502788,0.1516980783671768
021,./021/A_talking_cactus_with_a_sombrero,0.2625673926065785,0.2902087318249291
021,./021/Dragon,0.1690006071256389,0.216457657269663
021,./021/Spaceship,0.313362518885846,0.6213769742642524
022,./022/copper_Robot_with_glowing_eyes,0.1594348355006095,0.1412401192619971
